,Molecular Weight,Polar Surface Area,Number of Rings,Number of Rings,Number of Valence Electrons,Number of Aromatic Atoms,Number of Conjugated Bonds,measured log solubility in mols per litre
1,201.225,42.24,2,2,76,11,4,-3.3
2,152.237,17.07,0,0,62,0,3,-2.06
4,84.14299999999999,0.0,1,1,26,5,0,-1.33
6,326.437,0.0,2,2,88,12,1,-7.32
7,272.388,40.46,4,4,108,6,1,-5.03
10,85.10600000000001,29.1,1,1,34,0,1,1.07
11,162.61899999999997,0.0,2,2,54,10,0,-4.14
12,70.135,0.0,0,0,30,0,0,-2.68
13,218.256,58.2,2,2,84,6,2,-2.64
14,198.39399999999995,0.0,0,0,86,0,0,-7.96
15,78.542,0.0,0,0,26,0,0,-1.41
16,88.14999999999999,20.23,0,0,38,0,0,-0.47
17,103.12399999999997,23.79,1,1,38,6,2,-1.0
18,304.35200000000003,53.47,1,1,108,6,1,-3.64
19,172.312,20.23,0,0,74,0,0,-2.94
20,326.437,0.0,2,2,88,12,1,-7.43
21,234.29899999999995,54.86,3,3,92,6,2,-4.593999999999999
22,260.386,18.46,0,0,80,0,0,-4.11
23,179.219,38.33,1,1,70,6,4,-2.35
24,322.243,115.54000000000002,1,1,122,6,8,-5.47
25,116.204,20.23,0,0,50,0,0,-1.81
26,180.167,72.68,2,2,68,9,2,-1.39
27,212.249,75.27000000000001,1,1,84,0,3,-1.661
28,318.0300000000001,0.0,2,2,92,12,3,-6.9
29,158.241,26.3,0,0,66,0,2,-3.17
30,134.22199999999998,0.0,1,1,54,6,0,-3.75
31,288.44,18.46,0,0,92,0,0,-4.755
32,300.314,76.66,2,2,114,12,9,-4.805
33,96.944,0.0,0,0,24,0,0,-1.64
34,180.25000000000003,0.0,3,3,68,12,0,-5.22
35,86.13399999999999,17.07,0,0,36,0,0,-0.85
37,253.367,29.540000000000003,1,1,94,6,3,-3.927
38,353.4900000000001,38.77,1,1,124,0,2,-4.15
39,226.101,0.0,0,0,50,0,0,-4.81
40,188.657,0.0,2,2,64,12,1,-4.88
41,86.134,20.23,0,0,36,0,0,-0.15
42,168.15200000000002,75.27,2,2,64,0,3,-1.655
43,156.269,20.23,1,1,66,0,0,-2.53
44,88.106,26.3,0,0,36,0,2,-0.63
45,116.20399999999998,20.23,0,0,50,0,0,-1.55
46,214.062,29.1,1,1,58,6,3,-3.083
47,266.098,60.91,2,2,76,12,3,-3.127
48,346.33900000000017,107.77,2,2,132,6,9,-4.76
49,157.216,12.89,2,2,60,10,0,-1.94
50,110.2,0.0,0,0,46,0,0,-3.66
51,236.27099999999996,75.27000000000001,2,2,92,0,3,-2.17
53,261.119,54.86,1,1,78,6,2,-2.523
54,360.88200000000006,0.0,2,2,94,12,1,-8.6
55,108.14,20.23,1,1,42,6,1,-0.62
56,128.259,0.0,0,0,56,0,0,-5.05
57,156.228,0.0,2,2,60,10,0,-4.14
58,242.321,0.0,4,4,90,18,0,-6.57
59,86.13399999999999,17.07,0,0,36,0,0,-0.19
60,429.77200000000016,0.0,2,2,106,12,1,-9.15
61,116.15999999999998,26.3,0,0,48,0,2,-0.82
63,109.128,46.25,1,1,42,6,2,-0.8
64,260.253,90.06,2,2,98,11,5,-2.81
65,366.84400000000016,54.37,4,4,132,12,3,-5.931
66,229.715,53.940000000000005,1,1,84,6,2,-4.06
67,123.11499999999998,68.87,1,1,46,6,3,-0.667
68,237.097,72.19,0,0,70,0,5,-2.68
